parametros_usados,input_dim,units,epoca,acuracia,matriz de confusao
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,100,78.02197933197021,"[[34 10]
 [10 37]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,200,75.82417726516724,"[[28 16]
 [ 6 41]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,50,75.82417726516724,"[[27 17]
 [ 5 42]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,100,79.1208803653717,"[[40  4]
 [15 32]]"
"['age', 'sex', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,200,79.1208803653717,"[[34 10]
 [ 9 38]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,100,81.31868243217468,"[[32 12]
 [ 5 42]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,100,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,200,81.31868243217468,"[[33 11]
 [ 6 41]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,50,74.72527623176575,"[[23 21]
 [ 2 45]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,100,70.32967209815979,"[[41  3]
 [24 23]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,5,200,82.41758346557617,"[[31 13]
 [ 3 44]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,50,79.1208803653717,"[[30 14]
 [ 5 42]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,100,80.2197813987732,"[[31 13]
 [ 5 42]]"
"['age', 'sex', 'cp', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,10,200,80.2197813987732,"[[31 13]
 [ 5 42]]"
"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,100,83.51648449897766,"[[34 10]
 [ 5 42]]"
"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,1,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,50,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,100,50.54945349693298,"[[ 0 44]
 [ 1 46]]"
"['age', 'sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal']",12,2,200,51.64835453033447,"[[ 0 44]
 [ 0 47]]"
